state,gate,alpha_real,alpha_imag,beta_real,beta_imag
0,X,0.0000000000,0.0000000000,1.0000000000,0.0000000000
0,Y,0.0000000000,-0.0000000000,-0.0000000000,1.0000000000
0,Z,1.0000000000,0.0000000000,-0.0000000000,-0.0000000000
0,H,0.7071067812,0.0000000000,0.7071067812,0.0000000000
1,X,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,Y,0.0000000000,-1.0000000000,-0.0000000000,0.0000000000
1,Z,0.0000000000,0.0000000000,-1.0000000000,-0.0000000000
1,H,0.7071067812,0.0000000000,-0.7071067812,0.0000000000
+,X,0.7071067812,0.0000000000,0.7071067812,0.0000000000
+,Y,0.0000000000,-0.7071067812,-0.0000000000,0.7071067812
+,Z,0.7071067812,0.0000000000,-0.7071067812,-0.0000000000
+,H,1.0000000000,0.0000000000,0.0000000000,0.0000000000
-,X,-0.7071067812,0.0000000000,0.7071067812,0.0000000000
-,Y,0.0000000000,0.7071067812,-0.0000000000,0.7071067812
-,Z,0.7071067812,0.0000000000,0.7071067812,-0.0000000000
-,H,0.0000000000,0.0000000000,1.0000000000,0.0000000000
i,X,0.0000000000,0.7071067812,0.7071067812,0.0000000000
i,Y,0.7071067812,-0.0000000000,-0.0000000000,0.7071067812
i,Z,0.7071067812,0.0000000000,-0.0000000000,-0.7071067812
i,H,0.5000000000,0.5000000000,0.5000000000,-0.5000000000
-i,X,0.0000000000,-0.7071067812,0.7071067812,0.0000000000
-i,Y,-0.7071067812,-0.0000000000,-0.0000000000,0.7071067812
-i,Z,0.7071067812,0.0000000000,-0.0000000000,0.7071067812
-i,H,0.5000000000,-0.5000000000,0.5000000000,0.5000000000
